Year;Canton;Condamnations adultes
2008-12-31;BL;3698
2008-12-31;BS;3171
2008-12-31;FR;3646
2008-12-31;GE;6334
2008-12-31;GL;270
2008-12-31;GR;2584
2008-12-31;JU;1163
2008-12-31;LU;3987
2008-12-31;NE;2903
2008-12-31;NW;345
2008-12-31;OW;325
2008-12-31;SG;4359
2008-12-31;SH;1033
2008-12-31;SO;3533
2008-12-31;SZ;836
2008-12-31;TG;2453
2008-12-31;TI;3471
2008-12-31;UR;667
2008-12-31;VD;10467
2008-12-31;VS;3442
2008-12-31;ZG;1253
2008-12-31;ZH;13578
2009-12-31;AG;9280
2009-12-31;AI;82
2009-12-31;AR;359
2009-12-31;BE;10792
2009-12-31;BL;3311
2009-12-31;BS;3975
2009-12-31;FR;4553
2009-12-31;GE;5882
2009-12-31;GL;225
2009-12-31;GR;2555
2009-12-31;JU;1042
2009-12-31;LU;4396
2009-12-31;NE;2763
2009-12-31;NW;405
2009-12-31;OW;337
2009-12-31;SG;4968
2009-12-31;SH;744
2009-12-31;SO;3054
2009-12-31;SZ;884
2009-12-31;TG;2534
2009-12-31;TI;3763
2009-12-31;UR;485
2009-12-31;VD;10629
2009-12-31;VS;3063
2009-12-31;ZG;1331
2009-12-31;ZH;14041
2010-12-31;AG;9136
2010-12-31;AI;69
2010-12-31;AR;349
2010-12-31;BE;11472
2010-12-31;BL;2630
2010-12-31;BS;3548
2010-12-31;FR;4785
2010-12-31;GE;6800
2010-12-31;GL;256
2010-12-31;GR;2969
2010-12-31;JU;1037
2010-12-31;LU;4172
2010-12-31;NE;2643
2010-12-31;NW;624
2010-12-31;OW;395
2010-12-31;SG;5421
2010-12-31;SH;719
2010-12-31;SO;3636
2010-12-31;SZ;1024
2010-12-31;TG;2627
2010-12-31;TI;4582
2010-12-31;UR;929
2010-12-31;VD;11274
2010-12-31;VS;3234
2010-12-31;ZG;1290
2010-12-31;ZH;14172
2011-12-31;AG;8372
2011-12-31;AI;81
2011-12-31;AR;305
2011-12-31;BE;10395
2011-12-31;BL;3038
2011-12-31;BS;2840
2011-12-31;FR;4833
2011-12-31;GE;6257
2011-12-31;GL;233
2011-12-31;GR;3285
2011-12-31;JU;800
2011-12-31;LU;4453
2011-12-31;NE;2391
2011-12-31;NW;545
2011-12-31;OW;319
2011-12-31;SG;4999
2011-12-31;SH;710
2011-12-31;SO;3536
2011-12-31;SZ;1296
2011-12-31;TG;3275
2011-12-31;TI;4310
2011-12-31;UR;647
2011-12-31;VD;11629
2011-12-31;VS;3606
2011-12-31;ZG;1348
2011-12-31;ZH;14686
2012-12-31;AG;8653
2012-12-31;AI;72
2012-12-31;AR;383
2012-12-31;BE;13272
2012-12-31;BL;2762
2012-12-31;BS;3830
2012-12-31;FR;4933
2012-12-31;GE;8452
2012-12-31;GL;252
2012-12-31;GR;3002
2012-12-31;JU;839
2012-12-31;LU;4874
2012-12-31;NE;2966
2012-12-31;NW;620
2012-12-31;OW;329
2012-12-31;SG;5392
2012-12-31;SH;776
2012-12-31;SO;3274
2012-12-31;SZ;1395
2012-12-31;TG;3169
2012-12-31;TI;4992
2012-12-31;UR;781
2012-12-31;VD;12182
2012-12-31;VS;3556
2012-12-31;ZG;1251
2012-12-31;ZH;16203
2013-12-31;AG;7594
2013-12-31;AI;52
2013-12-31;AR;300
2013-12-31;BE;12340
2013-12-31;BL;2609
2013-12-31;BS;4175
2013-12-31;FR;5423
2013-12-31;GE;10013
2013-12-31;GL;316
2013-12-31;GR;3249
2013-12-31;JU;1114
2013-12-31;LU;4799
2013-12-31;NE;3273
2013-12-31;NW;479
2013-12-31;OW;407
2013-12-31;SG;5390
2013-12-31;SH;1035
2013-12-31;SO;3023
2013-12-31;SZ;1326
2013-12-31;TG;3014
2013-12-31;TI;4568
2013-12-31;UR;861
2013-12-31;VD;14491
2013-12-31;VS;3744
2013-12-31;ZG;1182
2013-12-31;ZH;16276
2014-12-31;AG;7667
2014-12-31;AI;52
2014-12-31;AR;333
2014-12-31;BE;13554
2014-12-31;BL;3003
2014-12-31;BS;3705
2014-12-31;FR;5058
2014-12-31;GE;11939
2014-12-31;GL;323
2014-12-31;GR;3030
2014-12-31;JU;1135
2014-12-31;LU;4372
2014-12-31;NE;3089
2014-12-31;NW;385
2014-12-31;OW;347
2014-12-31;SG;5483
2014-12-31;SH;981
2014-12-31;SO;3240
2014-12-31;SZ;1371
2014-12-31;TG;2936
2014-12-31;TI;4660
2014-12-31;UR;569
2014-12-31;VD;15204
2014-12-31;VS;3802
2014-12-31;ZG;1138
2014-12-31;ZH;15088
2015-12-31;AG;7124
2015-12-31;AI;54
2015-12-31;AR;366
2015-12-31;BE;13043
2015-12-31;BL;2948
2015-12-31;BS;4021
2015-12-31;FR;4805
2015-12-31;GE;11807
2015-12-31;GL;322
2015-12-31;GR;2926
2015-12-31;JU;1093
2015-12-31;LU;4222
2015-12-31;NE;3010
2015-12-31;NW;375
2015-12-31;OW;408
2015-12-31;SG;6083
2015-12-31;SH;966
2015-12-31;SO;2959
2015-12-31;SZ;1206
2015-12-31;TG;2933
2015-12-31;TI;4492
2015-12-31;UR;674
2015-12-31;VD;14269
2015-12-31;VS;4465
2015-12-31;ZG;1171
2015-12-31;ZH;15390
2016-12-31;AG;6879
2016-12-31;AI;82
2016-12-31;AR;359
2016-12-31;BE;13153
2016-12-31;BL;3116
2016-12-31;BS;5258
2016-12-31;FR;4730
2016-12-31;GE;10933
2016-12-31;GL;285
2016-12-31;GR;2636
2016-12-31;JU;1159
2016-12-31;LU;4040
2016-12-31;NE;2912
2016-12-31;NW;392
2016-12-31;OW;378
2016-12-31;SG;5508
2016-12-31;SH;930
2016-12-31;SO;2776
2016-12-31;SZ;1151
2016-12-31;TG;2932
2016-12-31;TI;4864
2016-12-31;UR;650
2016-12-31;VD;13999
2016-12-31;VS;4390
2016-12-31;ZG;1193
2016-12-31;ZH;15242
2017-12-31;AG;5835
2017-12-31;AI;60
2017-12-31;AR;379
2017-12-31;BE;12711
2017-12-31;BL;3033
2017-12-31;BS;4704
2017-12-31;FR;4435
2017-12-31;GE;11817
2017-12-31;GL;252
2017-12-31;GR;2280
2017-12-31;JU;1300
2017-12-31;LU;4019
2017-12-31;NE;2750
2017-12-31;NW;376
2017-12-31;OW;412
2017-12-31;SG;4890
2017-12-31;SH;998
2017-12-31;SO;2732
2017-12-31;SZ;1220
2017-12-31;TG;2921
2017-12-31;TI;5110
2017-12-31;UR;636
2017-12-31;VD;13371
2017-12-31;VS;4299
2017-12-31;ZG;1239
2017-12-31;ZH;14526
